تحقيق محمد باقر الأنصاري	ق 1
ابن السماك	0344
عائشة محمد علي عبد الرحمن المعروفة ببنت الشاطئ (المتوفى: 1419هـ)	1419
أحمد بن علي بن حجر العسقلاني	0852
عبد الله بن محمد ابن المعتز العباسي (المتوفى: 296هـ)	0296
أبو عبد الله محمد بن سعد بن منيع الهاشمي بالولاء، البصري، البغدادي المعروف بابن سعد (المتوفى: 230هـ)	0230
أبو القاسم إسماعيل بن أحمد بن عمر بن أبي الأشعث السمرقندي، الدمشقي المولد، البغدادي الوطن (المتوفى: 536هـ)	0536
شهاب الدين أبو عبد الله ياقوت بن عبد الله الرومي الحموي (المتوفى: 626هـ)	0626
ابن طي الفقعاني	0855
أبو الربيع سليمان بن موسى الكلاعي الأندلسي	0634
المحسن بن علي بن محمد بن أبي الفهم داود التنوخي البصري، أبو علي (المتوفى: 384هـ)	0384
أحمد بن مصطفى بن خليل، أبو الخير، عصام الدين طاشكبري زاده (المتوفى: 968هـ)	0968
محمد بن محمد بن محمد بن أحمد، ابن سيد الناس، اليعمري الربعي، أبو الفتح، فتح الدين (المتوفى: 734هـ)	0734
الحاكم الحسكاني	ق 5
أبو بكر محمد بن خلف بن حيان بن صدقة الضبي البغدادي, الملقب بـ&quot;وكيع&quot; (المتوفى: 306هـ)	0306
محمد بن عبد الباقي بن يوسف الزرقاني المصري الأزهري	NOTGIVEN
ابن حيان القرطبي ، حيان بن خلف (المتوفى : 469هـ)	0469
أبو إسحاق إسماعيل بن جعفر بن أبي كثير الأنصاري الزرقي المدني (المتوفى : 180هـ)	0180
السيد جعفر مرتضى	1450
أبو عبد الله أحمد بن محمد بن حنبل بن هلال بن أسد الشيباني (المتوفى: 241هـ)	0241
حمد بن محمد بن جاسر آل جاسر (المتوفى: 1421هـ)	1421
كمال الدين عمر بن أحمد بن أبي جرادة	0660
أبو عبد الله محمد بن محمد بن علي بن عبد الواحد المجاري الأندلسي	0862
د عثمان جمعة ضميرية	NOTGIVEN
السيد ابن طاووس	0664
محمد بن سعيد بن عبد الرحمن القشيري، أبو علي (المتوفى: 334هـ)	0334
الدكتور جواد جعفر الخليلي	1450
أبو الحسن علي بن محمد ، المعروف بالشابشتي (المتوفى : 388هـ)	0388
هلال بن المحسن بن إبراهيم بن هلال الصابئ الحراني، أبو الحسين، أو أبو الحسن (المتوفى: 448هـ)	0448
عبد الرحمن بن علي بن محمد الجوزي	0597
أبو محمد الحسن بن أبي طالب محمد بن الحسن بن على الخلال (المتوفى : 439هـ)	0439
محمد بن فتوح الحميدي	0488
يوسف بن خليل بن قراجا بن عبد الله، أبو الحجاج، شمس الدين الدمشقي ثم الحلبي الحنبلي (المتوفى: 648هـ)	0648
حسام الدين بن موسى محمد بن عفانة	NOTGIVEN
سفيان بن عيينة بن ميمون (المتوفى: 198هـ)	0198
سفيان بن عيينة بن أبي عمران الكوفي	0199
فخر الدين عثمان بن علي الزيلعي الحنفي.	0743
ابن ميثم البحراني	0689
عبد العظيم بن عبد القوي بن عبد الله، أبو محمد، زكي الدين المنذري (المتوفى: 656هـ)	0656
بدر الدين أبو عبد الله محمد بن علي الحنبلي البعلي	0777
أبو الفضل أحمد بن علي بن محمد بن أحمد بن حجر العسقلاني (المتوفى: 852هـ)	0852
أبو عبيد الله بن محمد بن عمران المرزباني (المتوفى : 384هـ)	0384
د. صبحي إبراهيم الصالح (المتوفى: 1407هـ)	1407
أبو بكر محمد بن زكريا الرازي	0313
NOTGIVEN	0576
عبد الرزاق بن عبد المحسن البدر	NOTGIVEN
عوض بن رجاء بن فريج العوفي	NOTGIVEN
ابن أبي حاتم الرازي	0327
أحمد بن فرج اللخمي الإشبيلي الشافعي	0699
الحافظ شمس الدين محمد بن عبد الرحمن السخاوي	0902
أبو الحسن, علي بن أحمد بن مكرم الصعيدي العدوي (نسبة إلى بني عدي، بالقرب من منفلوط) (المتوفى: 1189هـ)	1189
سليمان بن سالم السحيمي	NOTGIVEN
القيسي	0842
أبو الحسن علي بن بسام الشنتريني	0542
جار الله الزمخشري توفي 583 هـ	NOTGIVEN
عبد القاهر بن طاهر بن محمد بن عبد الله البغدادي التميمي الأسفراييني، أبو منصور (المتوفى: 429هـ)	0429
عمر (أوطه) بن محمد بن فتوح البيقوني الدمشقي الشافعي (المتوفى: نحو 1080هـ)	NOTGIVEN
إسماعيل بن محمد أمين بن مير سليم الباباني البغدادي (المتوفى: 1339هـ)	1399
الإمام مسلم بن الحجاج أبو الحسن القشيري النيسابوري (المتوفى: 261هـ)	0261
الهيثمي	0807
NOTGIVEN	1346
السيد محمد رضا الجلالي	1450
حمد بن ناصر بن عثمان آل معمر التميمي الحنبلي (المتوفى : 1225هـ)	1225
محمد بن الحسين بن محمد بن موسى بن خالد بن سالم النيسابوري، أبو عبد الرحمن السلمي (المتوفى: 412هـ)	0412
أحمد بن محمد بن أحمد بن القاسم الضبي، أبو الحسن ابن المحاملي الشافعي (المتوفى: 415هـ)	0415
محمد بن إبراهيم بن إسماعيل أبو عبدالله البخاري الجعفي	0256
ابن عذاري المراكشي، أبو عبد الله محمد بن محمد (المتوفى: نحو 695هـ)	NOTGIVEN
أبو الحجاج مجاهد بن جبر التابعي المكي القرشي المخزومي (المتوفى: 104هـ)	0104
أبو حيان علي بن محمد بن بن العباس البغدادي التوحيدي	0360
أبو محمد موفق الدين عبد الله بن أحمد بن محمد بن قدامة الجماعيلي المقدسي ثم الدمشقي الحنبلي، الشهير بابن قدامة المقدسي (المتوفى: 620هـ)	0620
الشيخ داود الموسوى البغدادى	1450
أحمد بن علي بن ثابت الخطيب البغدادي	0463
شمس الدين أبي عبد الله محمد بن عبد الله الزركشي المصري الحنبلي	0772
مجموعة من أصحاب الأجزاء	NOTGIVEN
السيد محسن الحكيم	1390
محمد أحمد إسماعيل المقدم	NOTGIVEN
السيد الطباطبائي	1412
يوسف بن رافع بن تميم بن عتبة الأسدي الموصلي، أبو المحاسن، بهاء الدين ابن شداد (المتوفى: 632هـ)	0632
يوسف بن عبد البر النمري	0463
صالح بن الإمام أحمد بن محمد بن حنبل الشيباني البغدادي، أبو الفضل (المتوفى: 265هـ)	0265
محمد بن حسين بن عبد الصمد الحارثي العاملي الهمذاني، بهاء الدين (المتوفى: 1031هـ)	1031
أحمد تيمور باشا	1348
النسائي	0303
إبراهيم بن علي بن محمد بن فرحون اليعمري المالكي	0799
أبو طاهر محمد بن أحمد بن محمد بن إسماعيل بن أبي الصقر اللخمي الأنباري (المتوفى: 476هـ)	0476
محمد فريد بك	1338
محمد بن عبد الرحمن الخميس	NOTGIVEN
أحمد بن إسماعيل بن عثمان الكوراني، شهاب الدين الشافعي ثم الحنفي (المتوفى: 893هـ)	0893
أحمد بن حجر العسقلاني	0852
خليل بن شاهين الظاهري	0873
محمد يوسف بن محمد إلياس بن محمد إسماعيل الكاندهلوي (المتوفى: 1384هـ)	1384
شمس الدين محمد بن أحمد بن علي بن عبد الخالق، المنهاجي الأسيوطي ثم القاهري الشافعي (المتوفى: 880هـ)	0880
نجم الدين العسكري	1390
أبو طاهر أحمد بن محمد السلفي الأصبهاني	0576
الشهرستاني	0548
أبو العباس البسيلي التونسي (المتوفي 830 هـ)	NOTGIVEN
أحمد بن أبي بكر بن علي بن إسماعيل الحموي، ابن الرسام (المتوفى: 844هـ)	0844
ابن منظور	0711
ابن الملقن سراج الدين أبو حفص عمر بن علي بن أحمد المصري (المتوفى : 804هـ)	0804
برهان الدين أبي إسحاق إبراهيم بن عمر الشهير بـ: الجعبري	0732
ابن نما الحلي	0645
موسى بن أحمد بن موسى بن سالم بن عيسى بن سالم الحجاوي المقدسي، ثم الصالحي، شرف الدين، أبو النجا (المتوفى: 968هـ)	0968
ابن عساكر	0571
أبي السعود محمد بن محمد العمادي	0951
أبو الحسين عبد الباقي بن قانع بن مرزوق بن واثق الأموي بالولاء البغدادي (المتوفى: 351هـ)	0351
شرف الدين أبو المظفر يوسف بن الحسن بن بدر بن الحسن بن مفرج النابلسي الدمشقي الشافعي (المتوفى: 671هـ)	0671
إبراهيم بن موسى بن أيوب البرهان الأبناسي	0802
أحمد بن الفرات بن خالد الضبي الرازي، أبو مسعود (المتوفى: 258هـ)	0258
محمد بن جعفر المشهدي	ق 6
الزمخشري	0538
الحسن بن علي بن محمد، أبو محمد الجوهري (المتوفى: 454هـ)	0454
إسماعيل بن الحسين بن محمد بن الحسين بن أحمد المروزي (المتوفى : 632هـ)	0632
حافظ بن أحمد بن علي الحكمي (المتوفى: 1377هـ)	1377
أبو عبد الله عبيد الله بن محمد بن محمد بن حمدان العكبري المعروف بابن بطة العكبري (المتوفى: 387هـ)	0387
أبو محمد عبد الحق بن غالب بن عبد الرحمن بن تمام بن عطية الأندلسي المحاربي (المتوفى: 542هـ)	0542
الحافظ صلاح الدين أبو سعيد خليل بن الأمير سيف الدين كيكلدي بن عبد الله العلائي	0761
الفتح بن محمد بن عبيد الله بن خاقان ابن عبد الله القيسي، أبو نصر (المتوفى: 528هـ)	0528
محمد بن أحمد بن عثمان بن قايماز بن عبد الله التركماني أبو عبد الله شمس الدين الذهبي	0748
محمد بن محمد بن عبد الله بن إدريس الحسني الطالبي، المعروف بالشريف الادريسي (المتوفى: 560هـ)	0560
إبراهيم بن محمد بن سبط ابن العجمي أبو الوفا الحلبي الطرابلسي	0841
شهاب الدين أبو العباس أحمد بن خالد بن محمد الناصري الدرعي الجعفري السلاوي (المتوفى: 1315هـ)	1315
أبو حمزة الثمالي	0148
عبدالرحمن ابن أبي بكر أبو الفضل السيوطي	0911
الشيخ علي الخاقاني	1334
محمد عجاج بن محمد تميم بن صالح بن عبد الله الخطيب	NOTGIVEN
إبراهيم بن سعيد بن عبد الله الحبال أبو إسحاق	0482
زين الدين عبد الباسط بن خليل بن شاهين الشينمي	0920
أبو غالب الزراري	0368
د. ناصر بن عبد الكريم العقل	CONTEMPORARY
الشيخ أبو الحسن المرندي	1450
أحمد بن الحسين بن علي البيهقي أبو بكر	0458
صدر الدين ابن أبي العز الحنفي	0792
عبد الرحمن بن عبد اللطيف بن عبد الله بن عبد اللطيف بن عبد الرحمن بن حسن بن محمد بن عبد الوهاب	NOTGIVEN
سيد فاخر موسوي	1450
السيد محمد على الأبطحي	1450
الدكتور ماهر ياسين الفحل	CONTEMPORARY
دخيل بن صالح اللحيدان	NOTGIVEN
مركز الرسالة	1450
مولي محمد صالح المازندراني	1081
كمال الدين محمد بن موسى بن عيسى الدميري	0808
القاضي ابن البراج	0481
حمزة بن يوسف أبو القاسم الجرجاني	0345
جمال الدين عبد الله بن يوسف بن محمد الزيلعي	0762
أبو الحسين العالي، أحمد بن محمد بن منصور العالي البوشنجي (المتوفى: 419هـ)	0419
مالك بن أنس الأصبحي المدني (المتوفى: 179هـ)	0179
الشيخ المنتظري	1450
الدكتور أحمد مختار عمر بمساعدة فريق عمل	CONTEMPORARY
عبد المجيد الشيخ عبد الباري	NOTGIVEN
أبو الفرج عبد الرحمن بن الجوزي	0597
الخليل الفراهيدي	0170
محمد بن محمد بن مصطفى بن عثمان، أبو سعيد الخادمى الحنفي (المتوفى: 1156هـ)	1156
عبد الملك بن هشام بن أيوب الحميري المعافري، أبو محمد، جمال الدين (المتوفى: 213هـ)	0213
الحارث بن أبي أسامة	0282
أبي الفضل جلال الدين عبد الرحمن السيوطي	0911
علاء الدين علي بن إبراهيم بن العطار (المتوفى : 724هـ)	0724
السيد نعمة الله الجزائري	1112
المظفر بن الفضل بن يحيى، أبو علي، العلوي الحسيني العراقي (المتوفى: 656هـ)	0656
عبد الغني الأزدي	0409
د محمد بن سعد بن عبد الرحمن آل سعود	NOTGIVEN
لأبي جعفر محمد بن جرير الطبري	0310
السيد محمد سعيد الموسوي	ن 1380
ابن قتيبة الدينوري ، تحقيق الزيني	0276
يوسف بن علي بن جبارة بن محمد بن عقيل بن سواده أبو القاسم الهذلي اليشكري المغربي (المتوفى: 465هـ)	0465
عثمان بن عبد الرحمن، أبو عمرو، تقي الدين المعروف بابن الصلاح (المتوفى: 643هـ)	0643
ياقوت بن عبد الله الحموي أبو عبد الله	0626
هيئة كبار العلماء بالمملكة العربية السعودية	NOTGIVEN
سعيد بن علي بن وهب القحطاني	NOTGIVEN
علي بن يونس العاملي	0877
إبراهيم بن علي بن أحمد بن عبد الواحد ابن عبد المنعم الطرسوسي، نجم الدين الحنفي (المتوفى: 758هـ)	0758
أبو الحسن على بن موسى بن سعيد المغربي الأندلسي (المتوفى: 685هـ)	0685
مجموعة من العلماء بإشراف مجمع البحوث الإسلامية بالأزهر	NOTGIVEN
ميرزا محمد تقي الأصفهاني	1348
أحمد بن عياش الجوهري	0401
الحجازي، محمد محمود	NOTGIVEN
أبو المحاسن يوسف بن أحمد بن محمود اليغموري (المتوفى: 673هـ)	0673
أبو بكر، عبد الله بن محمد بن زياد النيسابوري (المتوفى: 324هـ)	0324
النجاشي	0450
عبد الرحمن بن علي بن محمد أبو الفرج	0597
عبدالله بن الزبير أبو بكر الحميدي	0219
تم جمعه من موقع الموسوعة الشعرية	NOTGIVEN
أبو حيان علي بن محمد ابن العباس التوحيدي	0360
عبد الله بن عدي	0365
الحسن بن أحمد المهلبي العزيزي (المتوفى: 380هـ)	0380
عبد الباقي بن قانع أبو الحسين	0351
الشيخ الشريعتي الأصفهاني	1450
أحمد بن محمد بن الحسين بن الحسن، أبو نصر البخاري الكلاباذي (المتوفى: 398هـ)	0398
أبو الحسن المالكي	9999
محمد بن حسين بن سليمان بن إبراهيم الفقيه (المتوفى: 1355هـ)	1355
(أمالي) محمد أنور شاه بن معظم شاه الكشميري الهندي ثم الديوبندي (المتوفى: 1353هـ)	1353
علي بن سليمان المرداوي أبو الحسن	0885
محمود سعيد ممدوح	1450
تاج الدين بن علي بن عبد الكافي السبكي	0771
عبد الرحمن بن محمد بن أحمد بن قدامة المقدسي الجماعيلي الحنبلي، أبو الفرج، شمس الدين (المتوفى: 682هـ)	0682
أبو وداعة وليد بن صبحى الصعيدى	NOTGIVEN
ابن حجر العسقلاني، أبو الفضل أحمد بن علي (المتوفى: 852هـ)	0852
إسحاق بن راهويه	0238
أحمد بن علي أبو بكر الخطيب البغدادي	0463
ابن الجزري شمس الدين محمد بن محمد بن علي بن يوسف	0838
السيد مرتضى الرضوي	1450
ابن حجر الهيتمي	0973
محمود توفيق محمد سعد	NOTGIVEN
المحقق الداماد	1041
الشيخ هادي النجفي	1450
أبو بكر أحمد بن علي بن ثابت بن أحمد بن مهدي الخطيب البغدادي (المتوفى: 463هـ)	0463
استخرجها وحققها الدكتور إحسان عباس (المتوفى: 1424هـ)	1424
أبو جعفر محمد بن هشام بن ملاس النميري الدمشقي (المتوفى : 270هـ)	0270
الحسين بن مسعود البغوي	0516
محمد أمين بن فضل الله بن محب الدين بن محمد المحبي الحموي الأصل، الدمشقي (المتوفى: 1111هـ)	1111
مروان خليفات	1450
أبو الفضل حافظيان البابلي	1450
شهدة بنت أحمد بن الفرج الدينيوري الأبري	0574
أبو الفداء عماد الدين إسماعيل بن علي بن محمود بن محمد ابن عمر بن شاهنشاه بن أيوب، الملك المؤيد، صاحب حماة (المتوفى: 732هـ)	0732
إبن جرير الطبري	0310
محمد بن نما بن علي بن حمدون الحلي الملقب بهبة الله	9999
عبد السلام بن محسن آل عيسى	NOTGIVEN
أحمد بن يحيى بن جابر البلاذري	0279
سليمان بن سحمان بن مصلح بن حمدان بن مصلح بن حمدان بن مسفر بن محمد بن مالك بن عامر الخثعمي , التبالي , العسيري , النجدي (المتوفى: 1349هـ)	1349
محمد بن سعد بن منيع الهاشمي أبو عبد الله	0230
الإمام مالك	0179
علي بن سلطان محمد القاري	1014
أبو الحسن أحمد بن عبد الله بن صالح العجلى الكوفى (المتوفى: 261هـ)	0261
الإمام الحافظ أبو الفضل محمد بن طاهر المقدسي	0507
علاء الدين علي بن حسام الدين ابن قاضي خان القادري الشاذلي الهندي البرهانفوري ثم المدني فالمكي الشهير بالمتقي الهندي (المتوفى: 975هـ)	0975
محمد بن إسماعيل بن صلاح بن محمد الحسني، الكحلاني ثم الصنعاني، أبو إبراهيم، عز الدين، المعروف كأسلافه بالأمير (المتوفى: 1182هـ)	1182
أبو حفص سراج الدين عمر بن علي بن عادل الحنبلي الدمشقي النعماني (المتوفى: 775هـ)	0775
أحمد بن عبد الله بن محمد الطبري أبو جعفر	0694
المولى الصاحب كمال الدين أبي القاسم عمر بن أحمد بن هبة الله ابن العديم الحلبي	0660
د. إبراهيم بن عبد الله بن عبد الرحمن اللاحم	CONTEMPORARY
د محمد سهيل طقوش	NOTGIVEN
ابن عقدة الكوفي	0333
عدد من المختصين بإشراف الشيخ/ صالح بن عبد الله بن حميد إمام وخطيب الحرم المكي	NOTGIVEN
شهاب الدين أحمد بن أحمد بن سلامة القليوبي	1069
أحمد بن محمد بن أحمد السلفي	0576
أبي سعيد عبد الكريم بن محمد ابن منصور التميمي السمعاني	0562
عبد العزيز بن محمد بن إبراهيم، ابن جماعة الكناني، الحموي الأصل، الدمشقي المولد، ثم المصري، عز الدين (المتوفى: 767هـ)	0767
محمد عبد العظيم الزرقاني	1367
عبد الله بن محمد بن العباس الفاكهي، أبو محمد المكي (المتوفى: 353هـ)	0353
عبد الرحمن بن محمد بن محمد، ابن خلدون أبو زيد، ولي الدين الحضرمي الإشبيلي (المتوفى: 808هـ)	0808
محمد بن يزيد بن عبد الأكبر الثمالى الأزدي، أبو العباس، المعروف بالمبرد (المتوفى: 285هـ)	0285
البغوي	0516
صلاح الدين أبو سعيد خليل بن كيكلدي بن عبد الله الدمشقي العلائي (المتوفى: 761هـ)	0761
أبو الفضل عبيدالله بن عبد الله بن أحمد بن يوسف الهروي (المتوفى: 405هـ)	0405
NOTGIVEN	1372
محمد بن عبد الملك بن إبراهيم بن أحمد، أبو الحسن الهمذاني المعروف بالمقدسي (المتوفى: 521هـ)	0521
محمد بن مخلد المروزي	0331
ابن الصلاح	0643
أبو عبد الله محمد بن أحمد بن أبي بكر بن فرح الأنصاري الخزرجي شمس الدين القرطبي (المتوفى: 671هـ)	0671
البلاذري	0279
محمد بن علي بن أحمد بن عمر بن يعلى، أبو عبد الله، بدر الدين البعلي (المتوفى: 778هـ)	0778
أكرم بن محمد زيادة الفالوجي الأثري	NOTGIVEN
حكيم معراج الدين	1346
أبو المنذر سلمة بن مسلم بن إبراهيم الصحاري العوتبي (العماني الإباضي) نسبة الى عوتب وهي منطقة في صحار كانت تسمى في القديم :عوتب الخيام (المتوفى : 511هـ)	0511
أبو العباس، شهاب الدين، أحمد بن يوسف بن عبد الدائم المعروف بالسمين الحلبي (المتوفى: 756هـ)	0756
دكتر حسن إبراهيم حسن	1450
ابن ناصر الدين شمس الدين محمد بن عبد الله بن محمد القيسي الدمشقي	0842
فالح بن مهدي بن سعد بن مبارك آل مهدي، الدوسري (المتوفى: 1392هـ)	1392
ابن ضويان، إبراهيم بن محمد بن سالم (المتوفى: 1353هـ)	1353
عز الدين بن جماعة الكتاني	0767
أحمد بن محمد بن أحمد بن محمد بن منصور أبو الحسن المجهز المعروف بالعتيقي (المتوفى: 441هـ)	0441
أحمد بن حنبل	0241
أبو بكر عبد الله بن محمد بن عبيد ابن أبي الدنيا القرشي البغدادي	0281
الحسن بن محمد بن محمد ابن عمروك التيمي النيسابورى ثم الدمشقي، أبو علي، صدر الدين البكري (المتوفى: 656هـ)	0656
عثمان بن الصلاح عبدالرحمن بن موسى بن أبي النصر الشافعي (577 هـ - 643 هـ).	0805
إبراهيم بن إسماعيل الأبياري (المتوفى: 1414هـ)	1414
أبو نعيم الأصبهاني	0430
جلال الدين المحلي (محمد بن أحمد) (المتوفى: 864هـ)، وجلال الدين السيوطي (عبد الرحمن بن أبي بكر) (المتوفى: 911هـ) الشافعيان	0864
علي بن إبراهيم بن أحمد الحلبي، أبو الفرج، نور الدين ابن برهان الدين (المتوفى: 1044هـ)	1044
أبو حفص عمر بن علي ابن عادل الدمشقي الحنبلي	0880
عبد الوهاب الشعراني المصري	0973
ابن عذاري المراكشي ، محمد بن محمد (المتوفى : نحو 695هـ)	0695
همام بن منبه	0132
البيضاوي	0685
محمد بن علي الصابوني	0680
أبو صالح، عبد الله بن صالح بن محمد بن مسلم الجهني مولاهم، المصري، كاتب الليث بن سعد (المتوفى: 223هـ)	0223
ياسر بن أحمد بن محمود بن أحمد بن أبي الحمد الكويس الحمداني	NOTGIVEN
الفتني	0986
أبو بكر محمد بن أبي إسحاق إبراهيم بن يعقوب الكلاباذي البخاري	0384
أبو عبد الله محمد بن أحمد، شمس الدين القرطبي (المتوفى: 671هـ)	0671
محمد بن محمد بن محمد، أبو الفضل تقي الدين ابن فهد الهاشمي العلوي الأصفوني ثم المكي الشافعي (المتوفى: 871هـ)	0871
الحصني الدمشقي	0829
علي بن عبد السلام بن علي، أبو الحسن التسولي المالكي (المتوفى: 1258هـ)	1258
جمال الدين أبو الحسن علي بن يوسف القفطي (المتوفى : 646هـ)	0646
بهاء الدين أبو المحاسن يوسف بن رافع بن تميم المشهور بابن شدار	0632
محمد حميد الله الحيدر آبادي الهندي (المتوفى: 1424هـ)	1424
ابن عبد البر	0463
أبو بكر محمد بن إسحاق بن خزيمة بن المغيرة بن صالح بن بكر السلمي النيسابوري (المتوفى: 311هـ)	0311
جريدة علمية تهذيبية فكاهية صدرت في 24 أغسطس عام 1892 م على يد عبد الله النديم (المتوفى: 1314هـ)	1314
عبد الحي بن أحمد بن محمد ابن العماد العكري الحنبلي، أبو الفلاح (المتوفى: 1089هـ)	1089
الطبراني	0360
محمد بن جابر بن محمد بن قاسم القيسي، شمس الدين، أبو عبد الله الوادي آشي الأندلسي (المتوفى: 749هـ)	0749
أبو عبد الله محمد بن عبد الباقي بن يوسف بن أحمد بن شهاب الدين بن محمد الزرقاني المالكي (المتوفى: 1122هـ)	1122
المحقق الكركي	0940
الشيخ مهدي الكجوري الشيرازي	1293
ابن الخطيب	0809
الحسين بن إسماعيل الضبي المحاملي أبو عبد الله	0330
عبد الرحمن بن حسن الجبرتي المؤرخ (المتوفى: 1237هـ)	1237
أبو بكر محمد بن جعفر بن محمد بن سهل بن شاكر الخرائطي (المتوفى: 327هـ)	0327
السيد محمد صادق الروحاني	1450
عمرو بن بحر بن محبوب الكناني بالولاء، الليثي، أبو عثمان، الشهير بالجاحظ (المتوفى: 255هـ)	0255
أبو عبد الله البغدادي الحسين بن إسماعيل بن محمد بن إسماعيل بن سعيد بن أبان الضبي المحاملي (المتوفى: 330هـ)	0330
علي بن الحسين بن علي، أبو الحسن نور الدين جامع العلوم الأصفهاني الباقولي (المتوفى: نحو 543هـ)	NOTGIVEN
زكريا الأنصاري	0936
السيد عبد الله شبر	1422
شمس الدين أبو الخير ابن الجزري، محمد بن محمد بن يوسف (المتوفى: 833هـ)	0833
تقي الدين أبو عمرو عثمان بن عبد الرحمن ابن الصلاح	0643
سعيد أيوب	1450
أبو الفرج مسعود بن الحسن الثقفي الأصبهاني (المتوفى: 562هـ)	0562
أبو عبد الرحمن أحمد بن شعيب النسائي	0303
علي بن الجعد بن عبيد	0230
زين الدين أبي يحيى زكريا بن محمد بن زكريا الأنصاري السنيكي (ت 926 هـ)	NOTGIVEN
طاهر بن صالح (أو محمد صالح) ابن أحمد بن موهب، السمعوني الجزائري، ثم الدمشقي (المتوفى: 1338هـ)	1338
سيف بن عمر الأسدي التميمي (المتوفى: 200هـ)	0200
محمد بن محمد بن يحيى بن زبارة الحسني اليمني الصنعاني	1381
أحمد بن علي بن محمد بن إبراهيم، أبو بكر ابن منجويه (المتوفى: 428هـ)	0428
عبد الوهاب بن يوسف بن إبراهيم، ابن السلار الشافعي (المتوفى: 782هـ)	0782
نور الدين، علي بن محمد بن علي بن عبد الرحمن ابن عراق الكناني (المتوفى: 963هـ)	0963
محمد بن يوسف الشهير بأبي حيان الأندلسي	0745
أبو بكر محمد بن موسى بن عثمان الحازمي الهمداني (المتوفى : 584هـ)	0584
الكاتب البغدادي	ن 322
ابن النديم البغدادي	0438
أحمد بن علي بن حجر أبو الفضل العسقلاني الشافعي	0852
محمد نغش	NOTGIVEN
مرعي بن يوسف بن أبى بكر بن أحمد الكرمى المقدسي الحنبلى (المتوفى: 1033هـ)	1033
مؤلف مجهول، وهو رجل حربي عاصر الأحداث التي يرويها	NOTGIVEN
غلام رضا عرفانيان	1450
الحلواني	ق 5
عبد العزيز بن أحمد بن محمد بن علي التميمي، أبو محمد الكتاني الدمشقي (المتوفى: 466هـ)	0466
كامل بن حسين بن محمد بن مصطفى البالي الحلبي، الشهير بالغزي (المتوفى: 1351هـ)	1351
أبو بكر أحمد بن جعفر بن حمدان القطيعي	0368
أمين محمد سالم	NOTGIVEN
النووي	0676
أبو سعد منصور بن الحسين الآبي	0421
أبو الليث السمرقندي	0383
محمد بن إسماعيل أبو عبدالله البخاري الجعفي	NOTGIVEN
أحمد بن محمد بن علي بن حجر الهيتمي	NOTGIVEN
أحمد زيني دحلان	1304
أحمد بن عبد الله بن سليمان بن محمد بن سليمان، أبو العلاء المعري، التنوخي (المتوفى : 449هـ)	0449
شمس الدين محمد بن أبي العباس أحمد بن حمزة شهاب الدين الرملي (المتوفى: 1004هـ)	1004
ابن إدريس الحلي	0598
أبو المنجى عبد الله بن عمر بن علي بن زيد، ابن اللتي البغدادي، الحريمي، الطاهري، القزاز (المتوفى: 635هـ)	0635
أبو الفضل عبيد الله بن عبد الرحمن بن محمد بن عبيد الله بن سعد بن إبراهيم (المتوفى : 381هـ)	0381
فوزان بن سابق بن فوزان (المتوفى: 1373هـ)	1373
الحسين بن إبراهيم بن الحسين بن جعفر، أبو عبد الله الهمذاني الجورقاني (المتوفى: 543هـ)	0543
أبو القاسم الحسن بن بشر الآمدي (المتوفى : 370هـ)	0370
الرازي	0606
مؤلف أخبار الدولة العباسية - مجهول (المتوفى: ق 3هـ)	NOTGIVEN
أحمد بن محمد بن إسماعيل الطحاوي الحنفي	1231
عبد الرحمن بن حمد بن زيد المغيرى اللامي، الطائي نسبا، الحنبلي مذهبا، والنجدي وطنا (المتوفى: 1364هـ)	1364
أبو منصور محمد بن أحمد الأزهري	0370
مسلم بن الحجاج أبو الحسن القشيري النيسابوري (المتوفى: 261هـ)	0261
أحمد رافع بن محمد الحسيني القاسمي الطهطاوي الحنفي (المتوفى: 1355هـ)	1355
محمد بن عمرو بن البختري بن مدرك بن سليمان البغدادي الرزاز	0339
أبو نعيم أحمد بن عبد الله الأصبهاني	0430
محمد الطاهر بن محمد بن محمد الطاهر بن عاشور التونسي (المتوفى: 1393هـ)	1393
جمال بن محمد السيد	NOTGIVEN
طارق زين العابدين	1450
أبو سليمان محمد بن عبد الله بن أحمد بن ربيعة بن سليمان بن خالد بن عبد الرحمن بن زبر الربعي (المتوفى: 379هـ)	0379
السيد المرعشي	1411
عبد الكريم بن محمد الرافعي القزويني	0623
أبو الحسن خيثمة بن سليمان بن حيدرة بن سليمان القرشي الشامي الأطرابلسي (المتوفى: 343هـ)	0343
أبو الفداء إسماعيل بن عمر بن كثير القرشي الدمشقي (المتوفى: 774هـ)	0774
أبو بكر أحمد بن محمد بن هارون بن يزيد الخلال البغدادي الحنبلي (المتوفى: 311هـ)	0311
أبو الفداء زين الدين قاسم بن قطلوبغا السودوني (نسبة إلى معتق أبيه سودون الشيخوني) الجمالي الحنفي (المتوفى: 879هـ)	0879
أبو سفيان وكيع بن الجراح بن مليح بن عدي بن فرس بن سفيان بن الحارث بن عمرو ابن عبيد بن رؤاس الرؤاسي (المتوفى : 197هـ)	0197
أبو بكر محمد بن هارون الروياني (المتوفى: 307هـ)	0307
أبو يعلى أحمد بن علي بن المثنى بن يحيى بن عيسى بن هلال التميمي، الموصلي (المتوفى: 307هـ)	0307
